"","school_id","short_name","long_name","school_type","primary_category","address","city","state","zip","progress_report_year","school_survey_student_response_rate_pct","school_survey_teacher_response_rate_pct","school_survey_involved_families","school_survey_supportive_environment","school_survey_ambitious_instruction","school_survey_effective_leaders","school_survey_collaborative_teachers","school_survey_safety","suspensions_per_100_students_year_2_pct","misconducts_to_suspensions_year_2_pct","average_length_suspension_year_2_pct","behavior_discipline_year_1","behavior_discipline_year_2","student_attendance_year_1_pct","student_attendance_year_2_pct","teacher_attendance_year_1_pct","teacher_attendance_year_2_pct","one_year_dropout_rate_year_1_pct","one_year_dropout_rate_year_2_pct","mobility_rate_pct","chronic_truancy_pct","school_latitude","school_longitude","sat_grade_11_score_school_avg","attainment_psat_grade_9_school_pct","attainment_psat_grade_10_school_pct","attainment_sat_grade_11_school_pct","attainment_all_grades_school_pct","truancy_bin"
"44",609879,"DAWES","Charles Gates Dawes Elementary School","Neighborhood","ES","3810 W 81ST PL","Chicago","Illinois",60652,2022,88.2,89.8,4,3,3,4,4,3,1.2,3.9,"2.3 days",2021,2022,94.5,89.4,89.3,92.3,NA,NA,7.9,36.7,41.745078,-87.717353,0,0,0,0,0,"20-40%"
"45",400153,"ACERO - BRIGHTON PARK","Acero Charter Schools - Brighton Park","Charter","ES","4420 S FAIRFIELD AVE","Chicago","Illinois",60632,2022,91.1,90.5,3,3,3,3,2,2,NA,NA,NA,2021,2022,89,89.5,NA,NA,NA,NA,7.6,39.8,41.813109,-87.693238,0,0,0,0,0,"20-40%"
"46",609730,"SENN HS","Nicholas Senn High School","Neighborhood","HS","5900 N GLENWOOD AVE","Chicago","Illinois",60660,2022,84.6,96.5,3,3,3,2,3,2,7.4,18.3,"1.9 days",2021,2022,87.9,83,88.8,93.6,2.1,3,11.4,55.3,41.989029,-87.667136,960,39.2,37.1,37.7,38,"40-60%"
"47",400118,"NOBLE - DRW HS","Noble - DRW College Prep","Charter","HS","931 S HOMAN AVE","Chicago","Illinois",60624,2022,14.7,58.3,3,NA,NA,1,1,NA,NA,NA,NA,2021,2022,50.3,72,NA,NA,2.9,5.7,19.5,83.6,41.869328,-87.711654,793,13.2,9.2,3.4,9,"80-100%"
"48",400057,"NOBLE - UIC HS","Noble - UIC College Prep","Charter","HS","1231 S DAMEN AVE","Chicago","Illinois",60608,2022,40.6,63.8,3,NA,NA,2,2,NA,NA,NA,NA,2021,2022,84.4,81.9,NA,NA,0.1,0.9,6.3,60.8,41.865817,-87.676111,907,26.9,26,23.6,25.4,"60-80%"
"49",400021,"CATALYST - CIRCLE ROCK","Catalyst Elementary Charter School - Circle Rock","Charter","ES","5608 W WASHINGTON BLVD","Chicago","Illinois",60644,2022,95.6,80,3,3,4,4,4,3,NA,NA,NA,2021,2022,92.9,88.8,NA,NA,NA,NA,4,39.8,41.882322,-87.765322,0,0,0,0,0,"20-40%"
"50",610251,"CATHER","Willa Cather Elementary School","Neighborhood","ES","2908 W WASHINGTON BLVD","Chicago","Illinois",60612,2022,65.4,77.3,3,2,3,3,2,1,19.2,12.2,"1.3 days",2021,2022,88.2,86.9,86.6,91.4,NA,NA,17.6,52.8,41.88295,-87.699187,0,0,0,0,0,"40-60%"
"51",610077,"MORRILL","Donald Morrill Math & Science Elementary School","Neighborhood","ES","6011 S ROCKWELL ST","Chicago","Illinois",60629,2022,2.8,46.3,NA,NA,NA,NA,NA,NA,2.6,12.1,"2.2 days",2021,2022,89.6,85,87.4,93.4,NA,NA,18.1,57.3,41.784313,-87.688549,0,0,0,0,0,"40-60%"
"52",610044,"LOWELL","James Russell Lowell Elementary School","Neighborhood","ES","3320 W HIRSCH ST","Chicago","Illinois",60651,2022,84,70,3,3,3,2,2,3,NA,NA,NA,2021,2022,89.5,86.5,86.3,92.1,NA,NA,15.3,46.5,41.90652,-87.710217,0,0,0,0,0,"40-60%"
"53",609898,"EBERHART","John F Eberhart Elementary School","Neighborhood","ES","3400 W 65TH PL","Chicago","Illinois",60629,2022,0.4,55.6,3,NA,NA,3,2,NA,3.6,19.8,"2.4 days",2021,2022,90.1,88.6,87.8,91.7,NA,NA,8.4,44.9,41.77442,-87.707953,0,0,0,0,0,"40-60%"
"54",609774,"ALCOTT ES","Louisa May Alcott College Preparatory ES","Neighborhood","ES","2625 N ORCHARD ST","Chicago","Illinois",60614,2022,92.9,76.5,4,3,3,3,3,4,NA,NA,NA,2021,2022,98,94.7,93.4,93.6,NA,NA,5.4,11.6,41.92985,-87.646413,0,0,0,0,0,"0-20%"
